title,text,url,is_disambiguation
Lanny Flaherty,"Lanny Flaherty (July 27, 1942 – February 18, 2024) was an American actor.


Life and career
Flaherty had roles in films and miniseries such as Lonesome Dove, Natural Born Killers, Book of Shadows: Blair Witch 2 and Signs. He also had a brief role in Men in Black 3, and appeared as Jack Crow in Jim Mickles 2014 adaptation of Cold in July. Other film appearances include Winter People, Millers Crossing, Blood In Blood Out, Tom and Huck and Home Fries while television roles include guest appearances on The Equalizer, New York News and White Collar as well as a two-episode stint on The Education of Max Bickford as Whammo.
Flaherty was a graduate of Pontotoc High School, and attended University of Southern Mississippi after high school. He resided in New York City. Flaherty died following surgery in February 2024, at the age of 81.


Filmography


Film


Television


References


External links
Lanny Flaherty at IMDb",https://en.wikipedia.org/wiki/Lanny_Flaherty,False
Marianne McAndrew,"Marianne McAndrew is a retired actress known for her role as Irene Molloy in the film Hello, Dolly!


Career
Hello, Dolly! was McAndrew's first credited film role. The role of Irene Molloy was given considerably more attention in the film than in earlier Broadway productions. Hello, Dolly! earned McAndrew two Golden Globe nominations in 1969; Golden Globe Award for Best Supporting Actress – Motion Picture and the since discontinued Golden Globe Award for New Star of the Year – Actress, as well as generally good reviews. She landed a starring (second billed) role in her next film (The Seven Minutes). By 1971, she had made appearances in popular TV shows including Hawaii 5-0, Mannix, Cannon and Love, American Style also appearing in Highway To Heaven in 1985 in the 2nd season episode 6 ""Birds of a Feather""
One notable later film role was her co-starring role in The Bat People, with her husband Stewart Moss. The film was widely panned, and is still somewhat known today as a ""bad film"". The Bat People was also her last film released in theaters; she has only worked in television since its release. Her only other later role of particular note is her role of Doris Williams in Growing Up Brady, a TV film about the popular show. McAndrew, along with everything else related to the film Hello, Dolly! experienced something of a resurgence in popularity with the release of WALL-E, which featured clips from the film, including a duet with  McAndrew's character (but McAndrew did not do her own singing in the film, which some news outlets claimed in articles about WALL-E).


Personal life
McAndrew married actor Stewart Moss in 1968, remaining married until his death in 2017. They starred together in The Bat People. McAndrew has two brothers.


Awards and honors
Hello, Dolly! earned McAndrew two Golden Globe nominations in 1969; Golden Globe Award for Best Supporting Actress – Motion Picture and the since discontinued Golden Globe Award for New Star of the Year – Actress.


Filmography


References


External links
Marianne McAndrew at IMDb
Marianne McAndrew at the TCM Movie Database",https://en.wikipedia.org/wiki/Marianne_McAndrew,False
Doug Sheehan,"Douglas Stuart Sheehan  (April 27, 1949 – June 29, 2024) was an American actor who played Ben Gibson throughout four seasons of the prime-time drama Knots Landing from 1983 to 1987. His character was the second husband of Valene Ewing (Joan Van Ark).
His first major role was as Joe Kelly on the daytime soap opera General Hospital from 1979 to 1982. He was nominated for the Daytime Emmy Award for Outstanding Supporting Actor in a Drama Series for the role in 1982.
He also played one of the leads in Day by Day as well as Mel Horowitz on Clueless from 1997 to 1999 replacing Michael Lerner. He also appeared on Sabrina the Teenage Witch as Sabrina's father.
Sheehan died at his home in Big Horn, Wyoming, on June 29, 2024, at the age of 75.


Filmography


Film


Television


References


External links
Doug Sheehan at IMDb",https://en.wikipedia.org/wiki/Doug_Sheehan,False
Gerhard Fischer (inventor),"Gerhard Julius Richard Fischer later Gerhard Julius Richard Fisher, Gerhard R. Fisher (March 18, 1899 – May 2, 1988) was a U.S. entrepreneur of German descent. He contributed to the development and popularity of the hand held metal detector.


Biography
Fisher was born in 1899 in Landeshut, Silesia, to Richard Hugo Georg Arthur Fischer, an engineer, and his wife Margaretha Julia Fischer née Job. His mother was from Łódź, where the parents also married. Around 1906, the Fischer family moved to Dresden. After studying electrical engineering at the Dresden University, Fischer emigrated to the U.S. In 1931, he founded Fisher Research Laboratory, Inc. in Palo Alto, where he served as president until his retirement in 1967. While working  with aircraft radio detection finders environment-dependent changes became apparent. From the interference by metal, he concluded that the device must also be suitable for detecting metal. Fisher shared the idea with Albert Einstein who correctly predicted the proliferation of hand held metal detector use. In 1937, he patented his metal detector. He died 1988 in Palo Alto.


Inventions
Although the actual inventor of the hand-held metal detector is disputed, the hand-held metal detector was made in 1925 and was first patented by Dr. Gerhard Fisher in 1931. A metal detector had been invented some forty years earlier (1881) by Alexander Graham Bell for the sole purpose of locating a lead bullet in President James A. Garfield.


Fisher Research Laboratory
He founded Fisher Research Laboratory to develop and market the hand held metal detectors in 1931.


References


External links
Fisher Research Laboratory – Company History
Metal detecting history Archived 2019-04-11 at the Wayback Machine (MDgear)",https://en.wikipedia.org/wiki/Gerhard_Fischer_(inventor),False
Focus,"Focus (pl.: foci or focuses) may refer to:


Arts
Focus or Focus Festival, former name of the Adelaide Fringe arts festival in East Australia


Film
Focus (2001 film), a 2001 film based on the Arthur Miller novel
Focus (2015 film), a 2015 film about con artists


Music
Focus (music), a musical technique also known as modal frame
Focus..., American music producer
Focus (band), Dutch progressive rock band


Albums
Focus (Stan Getz album), 1961 jazz album
Focus (Bill Hardman album), 1984 jazz album
Focus (Jan Akkerman & Thijs van Leer album), 1985
Focus (Cynic album), 1993 metal album
Focus (Chico Freeman album), 1994 jazz album
Focus (Souls of Mischief album), 1998 alternative hip-hop album
Focus (Holly Starr album), 2012 CCM album
Focus (Arthur Blythe album), 2002 jazz album
Focus (Diaura album), 2013 Japanese visual kei album
Focus (Jus2 EP), 2019
Focus (Hearts2Hearts EP), 2025


Songs
""Focus"" (Ariana Grande song), 2015
""Focus"" (Bazzi song), 2019
""Focus"" (Craig David song), 2018
""Focus"" (Hearts2Hearts song), 2025
""Focus"" (H.E.R. song), 2017
""Focus"" (Jacob Whitesides song), 2016
""Focus / No Angel"", a 2018 single by Charli XCX
""Focus"", a song by Joe Budden
""Focus"", a song by Susumu Hirasawa from Paranoia Agent Original Soundtrack
""Focus"", a song by Kim Dong-han from D-Hours AM 7:03
""Focus"", a song by 10 Years from Division
""The Focus"", by Failure, from The Heart Is a Monster, 2015


Writing
Focus (encyclopedia), a 1958 Swedish language encyclopedia
Focus (German magazine), a German weekly news magazine
Focus (Italian magazine), an Italian monthly popular science magazine
Focus (Polish magazine), a Polish scientific monthly magazine
Focus (Christian magazine)
Focus (Ukrainian magazine), a national Ukrainian weekly news magazine
Focus Taiwan, of the Central News Agency
Focus (novel), a 1945 novel by Arthur Miller
BBC Focus, a monthly science and technology magazine
Fokus (magazine), a Swedish magazine
San Francisco Focus, a monthly magazine


Companies, brands, organizations
Anti-Nazi Council, a 1930s organisation operated by a group known as Focus in Defence of Freedom and Peace sometimes called the Focus Group, including Winston Churchill
Focus DIY, a UK chain of do-it-yourself stores
Focus.com, a business social networking platform
Focus Brands, American restaurant franchiser and operator
Focus Features, the art house films division of NBC Universal's Universal Studios
Focus Films, U.K. independent film producer
FOR Organizing Committee of the United States, an American post-Trotskyist group, known as FOCUS
Focus Humanitarian Assistance, an international emergency relief organization
Focus Ireland, Irish nonprofit organization providing services for homeless people
Focus on the Family, an American non-profit organization
Focus Services, an international call center company
Fellowship of Catholic University Students, a Catholic outreach program for American college students founded in 1997
Focus Software, former name of Zemax Development Corporation, a maker of optical design software
Focus Home Interactive, a French publisher of computer games
Families OverComing Under Stress, a stress management program
Focus Bikes, a German bicycle manufacturer
Ford Focus, an international Ford automobile
Focus (board game), an abstract strategy game
Samsung Focus, a smartphone manufactured by Samsung which runs Microsoft Windows Phone
Focus (Croatian political party), a political party in Croatia
The Focus Foundation, an American research and support foundation


Science and technology


Computing and mathematics
Focus (computing), which of a number of GUI elements currently accepts keyboard input
FOCUS, a database reporting program
HP FOCUS, a CPU architecture
Helicon Focus, an image software program
Focus (geometry), a key point in specifying a conic section or other plane curve
Firefox Focus, a privacy-focused browser from Mozilla
Focus number system, a logarithmic number system proposed in 1977


Social sciences
Focus or attention, selectively concentrating on one aspect of the environment while ignoring other things
Focus (linguistics), the way information in one phrase relates to information that has come before
Focus group, a form of qualitative research in which a group of people are asked about their attitude towards a product, service, concept, advertisement, idea, or packaging


Other sciences
Epileptic focus in epilepsy
Focus (earthquake), an earthquake's underground point of origin or hypocenter
Focus (optics), a point toward which rays are made to converge


Military technology
AGM-87 Focus, a U.S. Navy air-to-surface missile
Operation Focus, the Israeli name for the attack against the Egyptian Air Force in the Six-Day War


Other uses
Focus mitt, a padded target attached to a glove and usually used in training boxers and other combat athletes
Focus, in Final Fantasy XIII, a task given to L'Cie to grant eternal life upon completion, or the life of a mindless Cieth on failure
Fokus, a Danish political party
Focus (name)
FOCUS Program, a voluntary study program at numerous American universities
Focus (Warsaw), an office building in Warsaw, Poland


See also
Focus group, a group interviewed to analyse opinions
Focus Group (disambiguation)
Hyperfocus, an intense form of mental concentration on a subject, topic, or task
Strong focusing, a principle in accelerator physics
Focal (disambiguation)
Focused (disambiguation)
Focusing (disambiguation)
Focal point (disambiguation)
Fantasy Focus (disambiguation)
All pages with titles beginning with Focus",https://en.wikipedia.org/wiki/Focus,True
Joey D. Vieira,"Joseph Douglas Vieira (April 8, 1944 – April 7, 2025), known as Joey D. Vieira, was an American film and television actor. He began as a child actor using the professional name Donald Keeler playing Sylvester ""Porky"" Brockway in the first several seasons (1954–57) of Lassie. Vieira borrowed the professional surname from his aunt, Ruby Keeler, star of numerous Warner Bros. musicals in the 1930s.
His other early television appearances included recurring roles in The Pride of the Family and Hank, and guest appearances in The Many Loves of Dobie Gillis, Shirley Temple's Storybook, and My Three Sons. Later in his career he appeared in episodes of Moonlighting, Remington Steele, and Married...With Children. His film appearances include The Private War of Major Benson (1955) with Charlton Heston, and The Patriot (2000) with Mel Gibson in which he played as Peter Howard. Vieira also wrote, produced, and directed.
He also had a music career in the 1970s and 1980s. One of his songs was sampled by the Tyler, the Creator song ""911/Mr.Lonely"" on his album Flower Boy.


Personal life and death
In addition to being the nephew of the late Ruby Keeler, he was the older half-brother of the late child actor Ken Weatherwax, widely known for portraying Pugsley Addams on the 1960s television sitcom The Addams Family. Weatherwax and Vieira were the nephews of Lassie's owner and trainer, Rudd Weatherwax. 
Vieira died following a long illness while receiving hospice care, on April 7, 2025, the day before his 81st birthday.


Partial filmography
The Private War of Major Benson (1955) – Cadet Cpl. Scawalski
Bob & Carol & Ted & Alice (1969) – Dishwasher (uncredited)
Evel Knievel (1971) – Lunch Truck Driver
Wooju heukgisa (1979) – (English version, voice)
Monaco Forever (1984) – Narrator
Ferris Bueller's Day Off (1986) – Pizza Man
Red Heat (1988) – Man at Phone Booth
Love, Cheat & Steal (1993) – Bullet Head #1
Me and the Gods (1997) – Dionysus
Free Enterprise (1998) – Hal Pittman
Grizzly Adams and the Legend of Dark Mountain (1999) – Joey Butterworth
The Patriot (2000) – Peter Howard
Nebraska (2001) – Fat Sam
Fuel (2008) – Floyd Miller
Dwegons And Leprechauns (2014) – Davargan / Yabo Potato / Sweetfang / Clyde (voice)


References


External links
Joey D. Vieira at IMDb
Joey D. Vieira discography at Discogs",https://en.wikipedia.org/wiki/Joey_D._Vieira,False
Taral Hicks,"Taral Hicks (born September 21, 1974) is an American actress and R&B singer. Hicks is best known for her acting in such films as 1993's American crime drama film A Bronx Tale and her 1997 debut R&B studio album This Time which featured a cover of Deniece Williams' ""Silly"" that peaked at No. 4 on Billboard Bubbling Under Hot 100 Singles.
Raised in Bronx, NY, Hicks graduated from Grace Dodge  in 1993.


Career


Acting
Hicks began her film career with a role in the critically acclaimed 1993 film, A Bronx Tale. Her subsequent film roles were small: 1995's Just Cause with Sean Connery and Laurence Fishburne, and 1996's Educating Matt Waters and The Preacher's Wife with Whitney Houston. She appeared in the movie Belly in 1998. In 2000, she appeared on screen in the short film, Are You Cinderella?, with actor Wood Harris. Her later film roles were in independent films such as 2005's The Salon, with Vivica A. Fox, Dondre Whitfield, and Darrin Henson; 2006's Forbidden Fruits with Ella Joyce, Fredro Starr, and R&B singer Keith Sweat; 2007's Humenetomy; and 2010's Ex$pendable. Hicks featured in the HBO television series Subway Stories in 1997. Two guest roles followed: 2002's 100 Centre Street in the episode titled ""Fathers"", and a 2003 episode of Soul Food: The Series titled ""The New Math"".
Hicks co-starred in the musical stage play Tyler Perry's Aunt Bam's Place with Paris Bennett, Cassi Davis, Jeffrey Lewis, Maurice Lauchner, and Melonie Daniels. It had a 3-day run beginning August 30, 2011 in Atlanta, Georgia (Cobb Energy Center) and was filmed for a DVD release on June 12, 2012.


Music
In 1995, Hicks signed a deal with Motown Records and released an album titled This Time. The single ""Ooh, Ooh Baby"", written by and featuring Missy Elliott, charted on the Billboard R&B singles chart. However, the lead single intended to debut her singing career was ""Distant Lover"", an uptempo track produced by Teddy Riley. The album did not take off until the second single, ""Silly"", a remake of the classic R&B hit by Deniece Williams, was released. Featuring a black-and-white music video directed by Hype Williams, the single charted well on the R&B chart. After collaborating on the video for ""Silly"", Williams cast Hicks as in his directorial film debut, 1998's Belly, as Keisha, DMX's girlfriend. The video for ""Silly"" appeared in one of the film's scenes. Hicks has expressed interest in pursuing a career in gospel music.


Personal life
Hicks is a 1993 graduate of Grace Dodge Vocational High School in the Bronx, New York. She is the younger sister of actress and singer D'atra Hicks. In 1999, Hicks began dating Loren Dawson, and the couple married in 2001 and share two children .


Discography


Singles

Soundtracks
1996: The Associate (on ""Yes We Can Can"" with Chantay Savage, LaShanda Reese and The Pointer Sisters)


Filmography


Film


Television


References


External links
Taral Hicks at IMDb
Taral Hicks at AllMusic",https://en.wikipedia.org/wiki/Taral_Hicks,False
Quintus Sosius Senecio,"Quintus Sosius Senecio (fl. 1st century AD) was a Roman senator who was favored by the emperors Domitian and Trajan. As a result of this relationship, he was twice ordinary consul, an unusual and prestigious honor: first in 99, with Aulus Cornelius Palma Frontonianus as his colleague; and again in 107 as the colleague of Lucius Licinius Sura, who was himself consul for the third time.


Career
Senecio's origins are unknown. He has been identified as the subject of an inscription where the name of the subject is lost, which provides us his cursus honorum. The earliest office recorded on this inscription was quattuorviri viarum curandarum, one of the four boards that comprised the vigintiviri; membership in one of these was a required first step toward a gaining entry into the Roman Senate. His next recorded office was as quaestor of the senatorial province of Achaea; upon completion of this traditional Republican magistracy he would be enrolled in the Senate. The inscription omits all mention of a term of service as military tribune; John D. Grainger speculates that Senecio may have served with Legio XXI Rapax, which was destroyed by the Iazyges in 92. He was the emperor's candidate for plebeian tribune and praetor, a clear honor; that the emperor's name is not provided suggests he was Domitian, who suffered damnatio memoriae after his death. After achieving the rank of praetor, Senecio was commissioned legatus legionis or commander of Legio I Minervia. He was then appointed legatus pro praetore or governor of Gallia Belgica for the term 96 to 98. It was while governor that Senecio provided early support to Trajan.
Senecio became consul ordinarius in 99. During the Dacian Wars, he held the governorship of Moesia Inferior. Afterwards he earned a second consulate in 107 as well as a statue at state expense.


Personal details
Senecio was a member of literary circles. Pliny the Younger addressed two letters to a ""Senecio"" who is commonly identified with him. The first, beginning with ""This year has produced a healthy crop of poets"", is on the health of contemporary Roman literature. The second is a request for a commission as military tribune on behalf of a relative of Pliny's friend Gaius Calvisius Rufus. Plutarch also dedicated several of his Parallel Lives (Theseus 1, Demosthenes 1, Brutus 1) as well some of the individual Moralia (Quaestiones conviviales and Quomodo quis suos in virtute sentiat profectus) to Senecio. These include reminiscences about Plutarch's and Senecio's conversations at Athens, Patras and Rome, as well as at Plutarch's home in Boeotia, where Senecio attended the wedding of Plutarch's son.
Senecio married the daughter of Sextus Julius Frontinus, a three-time consul (cos. 97, 98, 100). They had a daughter, Sosia Polla, who married Quintus Pompeius Falco.


Footnotes


Further reading
Prosopographia Imperii Romani S² 777
Puech, Bernadette. ""Prosopographie des amis de Plutarque"" in ANRW II.33.6 (1992), 4883.",https://en.wikipedia.org/wiki/Quintus_Sosius_Senecio,False
Joeri Adams,"Joeri Adams (born 15 October 1989, in Turnhout) is a Belgian former cyclist.


Major results


Cyclo-cross


Road
2007
3rd Overall Liège–La Gleize
1st Stage 3


References


External links

Joeri Adams at UCI
Joeri Adams at Cycling Archives
Joeri Adams at ProCyclingStats
Joeri Adams at Cycling Quotient",https://en.wikipedia.org/wiki/Joeri_Adams,False
Vincenzo Tusa,"Vincenzo Tusa (12 July 1920 – 5 March 2009) was an Italian archeologist.


Biography
Vincenzo Tusa initially studied in Mistretta, and later obtained his degree in literature in Catania in 1944, going on to become an assistant in Archeology. In 1947 he was hired by the Superintendency of Antiquities in Bologna and two years later he was transferred to Palermo. In 1963 he assumed the position of Superintendent for the BBCC of western Sicily.
During his time at the Superintendency, Tusa was responsible for promoting several excavations in the archaeological sites of Soluntum, Segesta, Selinunte, Motya, Marsala.
In the 1960's Tusa was the promoter of the Sicilia Archeologica magazine, as well as professor of Punic Antiquities at the Faculty of Letters of the University of Palermo until 1991.
Tusa was also a member of the Accademia dei Lincei for the Archeology category within the Moral Sciences class. His son, Sebastiano Tusa, also an archaeologist, held the position of head of the Superintendency for the Sea of the Sicilian Region.
Additionally, Tusa's name appears on the list of members of the Masonic lodge P2.


Acknowledgments
In Tusa the Sicilian Region has dedicated the Cave Archeology Area of Cusa Vincenzo Tusa.


Works
L'urbanistica di Solunto, 1970
Anastylosis ad Agrigento Tempio di Eracle e Selinunte Tempio C, 1975
La scultura in pietra di Selinunte, 1984
La preistoria in Sicilia, 1987
Selinunte nella mia vita, 1990
Segesta, 1991
Siciliani illustri: Antonino Salinas, 1995
Sarcofagi romani in Sicilia, 1995
Il parco archeologico di Selinunte, 2011


References


External links
""Scheda sul sito dell'Accademia dei Lincei"" [Card on the site of the Accademia dei Lincei].
""- Profilo bio-bibliografico a cura di Sebastiano Lo Iacono nel sito www.mistretta.eu"" [- Bio-bibliographic profile by Sebastiano Lo Iacono at www.mistretta.eu].",https://en.wikipedia.org/wiki/Vincenzo_Tusa,False
